t,mode,err_norm,tau_norm,tau_smoothness_step,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,q4,qd4,tau4,q5,qd5,tau5,q6,qd6,tau6,q7,qd7,tau7
0.0,task_space_pd_gc,3.636759828731859e-12,22.74721268125129,0.0,1.5424078575759993e-12,7.712039287879996e-10,0.0,-0.6999999999999423,2.8796736914133858e-11,-6.188191757487909,1.722676169366781e-12,8.613380846833905e-10,-0.5866908431074782,-2.199999999999997,1.6050384504946408e-12,21.736176148071376,2.8059038767140384e-12,1.402951938357019e-09,0.6322073211695401,1.6000000000000392,1.9553276041616927e-11,2.4365367923063985,0.8000000000000379,1.893842997961711e-11,-0.003196257500585149
0.002,task_space_pd_gc,2.0736317526447667e-12,22.747212681593712,2.53018641151664e-08,9.633397811152042e-13,4.816698905576021e-10,-1.705733470350036e-08,-0.699999999999975,1.2469731111935609e-11,-6.188191757700811,1.5086953482816655e-12,7.543476741408328e-10,-0.5866908575297629,-2.1999999999999873,6.400621564919461e-12,21.736176148218792,1.044212840297814e-12,5.22106420148907e-10,0.6322073128679706,1.6000000000000147,7.2744781933202626e-12,2.4365367923398296,0.8000000000000662,3.3093406803555844e-11,-0.0031962490008715675
0.004,task_space_pd_gc,1.0480387666435572e-12,22.74721268149568,8.225175372189543e-09,4.392537811026847e-13,2.1962689055134234e-10,-1.198434864111418e-08,-0.7000000000000012,-6.166908438422651e-13,-6.188191757522757,9.430568939527718e-13,4.715284469763859e-10,-0.5866908552941131,-2.199999999999995,2.667522282389613e-12,21.736176148068555,1.1596223236619574e-13,5.7981116183097864e-11,0.6322073185267566,1.6000000000000034,1.6369551332019331e-12,2.4365367922841914,0.800000000000051,2.545754764150971e-11,-0.0031962512010905134
0.006,task_space_pd_gc,5.582909781921309e-13,22.74721268136535,8.437281184523519e-09,-1.6845228868421263e-14,-8.422614434210631e-12,-6.304345634291916e-09,-0.7000000000000179,-8.991811200168106e-12,-6.1881917574367264,2.947762208780574e-13,1.473881104390287e-10,-0.586690850403033,-2.2000000000000015,-6.357460905444134e-13,21.736176148013833,-4.727907940813905e-13,-2.3639539704069525e-10,0.6322073211496413,1.599999999999995,-2.5924373527880986e-12,2.4365367922675665,0.8000000000000251,1.2536701621995689e-11,-0.003196254049321335
0.008,task_space_pd_gc,5.057061960151818e-13,22.747212681236782,8.314236173950155e-09,-1.741178516421788e-13,-8.70589258210894e-11,-8.463602356178059e-10,-0.7000000000000188,-9.452336129772031e-12,-6.188191757395157,-6.733721822642562e-14,-3.3668609113212815e-11,-0.5866908450009616,-2.2000000000000046,-2.2584468056715393e-12,21.736176147994836,-4.695302665869849e-13,-2.3476513329349243e-10,0.632207322582576,1.599999999999994,-2.9971002505517694e-12,2.436536792267499,0.8000000000000042,2.0502960628637264e-12,-0.003196256895222229
0.01,task_space_pd_gc,6.401554780834264e-13,22.747212681173767,3.973363121609682e-09,-2.7886503326965245e-13,-1.3943251663482623e-10,1.4815741594790373e-09,-0.700000000000017,-8.570644712836077e-12,-6.188191757408646,-3.0691230634824786e-13,-1.5345615317412392e-10,-0.5866908420800981,-2.200000000000004,-2.0876171924883373e-12,21.736176148012525,-4.872455100404549e-13,-2.4362275502022746e-10,0.6322073222376334,1.599999999999993,-3.5050741596704976e-12,2.436536792278284,0.7999999999999916,-4.2129301702913075e-12,-0.0031962582056787167
0.012,task_space_pd_gc,7.060886807853692e-13,22.747212681132996,2.6337170929482003e-09,-3.2119080432530826e-13,-1.6059540216265412e-10,3.043664281113964e-09,-0.7000000000000137,-6.888081446320014e-12,-6.1881917574198,-4.351205999382152e-13,-2.175602999691076e-10,-0.5866908401554543,-2.2000000000000033,-1.6036475745376627e-12,21.736176148022857,-4.534011987565239e-13,-2.2670059937826193e-10,0.6322073220623965,1.5999999999999932,-3.413402801936366e-12,2.43653679228491,0.7999999999999843,-7.903673087846378e-12,-0.0031962590780909086
0.014,task_space_pd_gc,7.00823748775715e-13,22.747212681114338,1.3549947116026845e-09,-3.2167030679459423e-13,-1.6083515339729712e-10,3.781377065454698e-09,-0.7000000000000101,-5.029918746778483e-12,-6.188191757433821,-4.815578611530075e-13,-2.4077893057650375e-10,-0.5866908391347055,-2.2000000000000024,-1.092778327673977e-12,21.736176148033653,-3.9404608800048626e-13,-1.9702304400024312e-10,0.6322073218067231,1.599999999999994,-3.027817541347853e-12,2.4365367922903287,0.7999999999999808,-9.61267835288973e-12,-0.0031962595072193333
0.016,task_space_pd_gc,6.520860242995849e-13,22.74721268111168,4.9434856635256e-10,-2.9907503278965063e-13,-1.4953751639482532e-10,3.9421112662687895e-09,-0.7000000000000067,-3.370257303911607e-12,-6.188191757448033,-4.757479102232945e-13,-2.378739551116472e-10,-0.5866908387725868,-2.2000000000000015,-6.740258035050912e-13,21.736176148043985,-3.3009934327936074e-13,-1.6504967163968036e-10,0.6322073215349188,1.599999999999995,-2.554630928061929e-12,2.436536792294821,0.7999999999999802,-9.959388818262133e-12,-0.003196259622147624
0.018000000000000002,task_space_pd_gc,5.818967832365595e-13,22.74721268111855,3.1612665749450486e-10,-2.6589025948642087e-13,-1.3294512974321042e-10,3.76053960559186e-09,-0.7000000000000041,-2.051960411536916e-12,-6.188191757460406,-4.4050325378444677e-13,-2.2025162689222339e-10,-0.5866908388273983,-2.200000000000001,-3.8639703241513373e-13,21.7361761480528,-2.710483992605565e-13,-1.3552419963027824e-10,0.6322073212940437,1.5999999999999959,-2.0957794198567075e-12,2.4365367922983188,0.7999999999999811,-9.483889469809435e-12,-0.0031962595466515174
0.02,task_space_pd_gc,5.045498872857774e-13,22.747212681130094,5.291011821054356e-10,-2.295503387501986e-13,-1.1477516937509928e-10,3.4032482842360134e-09,-0.7000000000000021,-1.082397864234218e-12,-6.188191757470226,-3.913607430734422e-13,-1.9568037153672108e-10,-0.5866908391148119,-2.2000000000000006,-2.1472955802528768e-13,21.736176148059773,-2.200048369747004e-13,-1.1000241848735019e-10,0.6322073210977583,1.5999999999999968,-1.692621891554516e-12,2.436536792300888,0.7999999999999828,-8.579481116876667e-12,-0.0031962593705697835
0.022,task_space_pd_gc,4.2852846061506785e-13,22.74721268114306,6.408601726510064e-10,-1.9416694497426027e-13,-9.708347248713013e-11,2.9760676832480877e-09,-0.7000000000000007,-4.1248391318128937e-13,-6.188191757477465,-3.3804091411129736e-13,-1.6902045705564868e-10,-0.586690839510645,-2.2000000000000006,-1.2878130987413977e-13,21.736176148064914,-1.77289700827667e-13,-8.86448504138335e-11,0.6322073209437932,1.5999999999999974,-1.3555473082105007e-12,2.436536792302624,0.7999999999999851,-7.502566061153236e-12,-0.003196259152057796
0.024,task_space_pd_gc,3.5840453412887127e-13,22.747212681155563,6.608312178657083e-10,-1.6181036839577526e-13,-8.090518419788763e-11,2.5414236627862994e-09,-0.7,2.398313328455634e-14,-6.188191757482444,-2.861660637018282e-13,-1.430830318509141e-10,-0.5866908399378694,-2.2,-9.605008038751669e-14,21.736176148068424,-1.4216981978608323e-13,-7.108490989304161e-11,0.632207320824976,1.5999999999999979,-1.0794791903689349e-12,2.4365367923036536,0.7999999999999873,-6.408462990876747e-12,-0.0031962589259911483
0.026000000000000002,task_space_pd_gc,2.962578796885863e-13,22.74721268116663,6.265590677637255e-10,-1.3334252002770284e-13,-6.667126001385142e-11,2.133262316518139e-09,-0.6999999999999994,2.8879218706654204e-13,-6.188191757485565,-2.3867132865981926e-13,-1.1933566432990962e-10,-0.5866908403522695,-2.2,-9.199052531536941e-14,21.736176148070562,-1.1360044909490439e-13,-5.6800224547452196e-11,0.6322073207338148,1.5999999999999983,-8.568726412017927e-13,2.4365367923040964,0.7999999999999893,-5.3800119838734295e-12,-0.0031962587116822843
0.028,task_space_pd_gc,2.426549122226384e-13,22.74721268117592,5.649096998113157e-10,-1.0893626930060437e-13,-5.446813465030218e-11,1.7677820525248833e-09,-0.6999999999999991,4.331933177033449e-13,-6.188191757487273,-1.9682070766584414e-13,-9.841035383292206e-11,-0.5866908407309378,-2.2,-9.973131005088135e-14,21.73617614807164,-9.052322796992389e-14,-4.526161398496194e-11,0.632207320663932,1.5999999999999988,-6.79915967563957e-13,2.4365367923040955,0.7999999999999912,-4.459251035459117e-12,-0.003196258518628476
0.03,task_space_pd_gc,1.973217826144409e-13,22.7472126811834,4.928177616867761e-10,-8.83933007603579e-14,-4.419665038017895e-11,1.4505436917608358e-09,-0.699999999999999,4.965370646432721e-13,-6.18819175748794,-1.6089122500367375e-13,-8.044561250183687e-11,-0.586690841064162,-2.2,-1.0917881049406061e-13,21.736176148071902,-7.197639299824372e-14,-3.5988196499121857e-11,0.6322073206102887,1.599999999999999,-5.397424279461571e-13,2.4365367923037677,0.7999999999999927,-3.659654294790846e-12,-0.0031962583503651184
0.032,task_space_pd_gc,1.5953156073993704e-13,22.747212681189247,4.201595855952622e-10,-7.133543226984851e-14,-3.566771613492425e-11,1.1810967274451713e-09,-0.699999999999999,5.079367199367195e-13,-6.1881917574878855,-1.306142495560505e-13,-6.530712477802525e-11,-0.5866908413499652,-2.2000000000000006,-1.153311512719609e-13,21.736176148071607,-5.712762759554266e-14,-2.8563813797771327e-11,0.6322073205690197,1.5999999999999992,-4.290683323236531e-13,2.4365367923032246,0.799999999999994,-2.9799448304965953e-12,-0.0031962582070282743
0.034,task_space_pd_gc,1.2837198686779213e-13,22.747212681193698,3.522771210883783e-10,-5.731714906268716e-14,-2.8658574531343578e-11,9.558357524383866e-10,-0.699999999999999,4.867557249946287e-13,-6.18819175748736,-1.0545056682886594e-13,-5.272528341443297e-11,-0.5866908415906311,-2.2000000000000006,-1.1825572832215843e-13,21.736176148070935,-4.527537250009778e-14,-2.263768625004889e-11,0.6322073205371923,1.5999999999999994,-3.395951318632302e-13,2.436536792302554,0.7999999999999953,-2.4118582916160956e-12,-0.0031962580869349345
0.036000000000000004,task_space_pd_gc,1.029076329930721e-13,22.747212681196988,2.9168664119420947e-10,-4.5889104726024345e-14,-2.294455236301217e-11,7.697403469220358e-10,-0.6999999999999991,4.481628909370938e-13,-6.188191757486539,-8.47556028077473e-14,-4.237780140387365e-11,-0.5866908417905456,-2.2000000000000006,-1.1545179929215262e-13,21.736176148070033,-3.5838194796255326e-14,-1.7919097398127664e-11,0.6322073205125877,1.5999999999999996,-2.70557023001863e-13,2.436536792301811,0.7999999999999962,-1.9427151822411254e-12,-0.003196257987555113
0.038,task_space_pd_gc,8.223392028529529e-14,22.747212681199393,2.3919971066253673e-10,-3.6631797995247595e-14,-1.8315898997623797e-11,6.174050557754624e-10,-0.6999999999999992,4.008217032773247e-13,-6.1881917574855825,-6.787472431217988e-14,-3.3937362156089935e-11,-0.5866908419548905,-2.2,-1.1074415530741294e-13,21.736176148069035,-2.8338773574793757e-14,-1.4169386787396879e-11,0.6322073204935249,1.5999999999999996,-2.142527565357567e-13,2.436536792301064,0.7999999999999969,-1.5578640734768942e-12,-0.0031962579060973574
0.04,task_space_pd_gc,6.554253219607313e-14,22.747212681201102,1.9467077466674426e-10,-2.917108253901797e-14,-1.4585541269508985e-11,4.936066494834643e-10,-0.6999999999999993,3.5108441021906963e-13,-6.1881917574845815,-5.4193903117781513e-14,-2.7096951558890755e-11,-0.5866908420888984,-2.2,-1.0235842076523333e-13,21.73617614806801,-2.238940876741435e-14,-1.1194704383707176e-11,0.6322073204787256,1.5999999999999996,-1.7055262771619218e-13,2.4365367923003407,0.7999999999999976,-1.2458367519766414e-12,-0.0031962578398330916
0.042,task_space_pd_gc,5.212848679656474e-14,22.74721268120228,1.574947962333889e-10,-2.31830870462989e-14,-1.159154352314945e-11,3.9356705918782936e-10,-0.6999999999999994,3.0255783823594183e-13,-6.188191757483594,-4.316400690749497e-14,-2.1582003453747486e-11,-0.5866908421974781,-2.2,-9.359594264191317e-14,21.736176148067017,-1.767600230433113e-14,-8.838001152165565e-12,0.632207320467217,1.5999999999999999,-1.3497446840813e-13,2.436536792299665,0.799999999999998,-9.93068691854638e-13,-0.0031962577862395458
