t,mode,err_norm,tau_norm,tau_smoothness_step,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,q4,qd4,tau4,q5,qd5,tau5,q6,qd6,tau6,q7,qd7,tau7
0.0,pd_only,5.2575848925168515e-05,0.0,0.0,-2.7734441429051413e-07,-0.00013867220714525706,0.0,-0.7000063715605823,-0.0031857802911934648,0.0,9.9256360511899e-07,0.000496281802559495,0.0,-2.2000517778013235,-0.02588890066161042,0.0,-2.669253946988899e-06,-0.0013346269734944495,0.0,1.5999941278446874,-0.0029360776563535874,0.0,0.7999998852438198,-5.737809011968037e-05,0.0
0.002,pd_only,0.000131483163047427,0.266462326389128,0.266462326389128,-5.056796664181118e-07,-0.00011416762606379879,0.00196359845317684,-0.7000094815943179,-0.0015550168677783778,0.045110648923297574,2.7344031475519827e-06,0.0008709197712164963,-0.00602486108307227,-2.2001296294258914,-0.038925812283908165,0.2619956746955065,-6.813629798836254e-06,-0.0020721879259236776,0.008087839459376365,1.5999815625879548,-0.00628262836632016,0.014827192164584675,0.7999998074102971,-3.891676139426724e-05,0.0002318074840832225
0.004,pd_only,0.00022522956046063097,0.3992952275534412,0.13812505091480723,-6.430753514187793e-07,-6.869784250033375e-05,0.0016388011382066322,-0.7000069836998377,0.0012489472400807843,0.022528763694329774,5.006359612049016e-06,0.0011359782322485164,-0.010642445474926595,-2.2002219770677804,-0.046173820944477244,0.39703588839255555,-1.17252424896061e-05,-0.0024558063453849225,0.012637536449507153,1.5999647472967333,-0.008407645610752934,0.031874077132733915,0.7999997705658851,-1.8422205967329364e-05,0.0001595188396363309
0.006,pd_only,0.0003281907797535159,0.47773604703862965,0.08822438973085485,-7.074928911174136e-07,-3.220876984931716e-05,0.0010132158231181748,-0.6999990372855539,0.003973207141884682,-0.01692656537411024,7.6370713661115e-06,0.0013153558770312417,-0.013982183959825627,-2.200323085497234,-0.050554214726988456,0.4750568335115884,-1.7052904947522085e-05,-0.0026638312289579925,0.015086595346997718,1.5999454625091845,-0.009642393774484538,0.042919545635433765,0.7999997597994635,-5.383210801765852e-06,7.827750616789602e-05
0.008,pd_only,0.00043730637663786347,0.5307049136273562,0.06358136863777941,-7.240506430722032e-07,-8.278875977394761e-06,0.0005075222091798334,-0.6999865314681918,0.006252908681065363,-0.05570191714206964,1.0502964800371277e-05,0.001432946717129888,-0.016318865520002706,-2.2004298442404915,-0.05337937162871957,0.5249272771039265,-2.2623847653992804e-05,-0.0027854713532353592,0.016494574522173615,1.5999247227528655,-0.010369878159507406,0.04957540614281348,0.7999997640386673,2.119601911488987e-06,2.6336853938504062e-05
0.01,pd_only,0.0005507330789625635,0.569648058275682,0.04801439488328519,-7.129703227384473e-07,5.540160166877971e-06,0.00017382831512930292,-0.6999704412362672,0.008045115962313458,-0.08861820407956864,1.3519086798309827e-05,0.001508060998969275,-0.017930568141584648,-2.2005404200645633,-0.055287912035943465,0.5595843707166741,-2.8348236065256048e-05,-0.002862194205631622,0.01739154354903194,1.599903085546397,-0.010818603234262812,0.0537313219759028,0.7999997770022024,6.481767531716427e-06,-3.759180992051718e-06
0.012,pd_only,0.0006672648694359966,0.5997389773610761,0.03696958550916884,-6.881006268391726e-07,1.2434847949637362e-05,-2.0524616517215814e-05,-0.6999516182780602,0.009411479103504658,-0.11499632457101117,1.6628833855192883e-05,0.001554873528441528,-0.01904306806351299,-2.2006536542864774,-0.05661711095713224,0.5853043242332218,-3.417535372406229e-05,-0.0029135588294031205,0.018023612315747416,1.599880866879335,-0.011109333531024846,0.056515877511393024,0.7999997953146745,9.156236069269444e-06,-2.1467114173425976e-05
0.014,pd_only,0.0007860662689655294,0.6237418917064118,0.028881416912086438,-6.580864983719776e-07,1.5007064233597481e-05,-0.00011903982114778925,-0.6999307456012789,0.010436338390627577,-0.13563124520424696,1.9795354497623794e-05,0.0015832603212154557,-0.019822500711161834,-2.2007687746302236,-0.05756017187310621,0.6053903667599565,-4.007404949562155e-05,-0.0029493478857796295,0.01850661358814059,1.599858256134662,-0.01130537233656037,0.058524995671752685,0.7999998171160557,1.0900690618117304e-05,-3.25312377655235e-05
0.016,pd_only,0.0009065381030285561,0.6433696986379224,0.022942441087425856,-6.279037455148118e-07,1.5091376428582942e-05,-0.0001574519794006065,-0.6999083493441045,0.01119812858719095,-0.15164908936647206,2.299512090807498e-05,0.0015998832052255933,-0.020384798669419134,-2.200885247008106,-0.058236188941243223,0.6217281965444662,-4.6023802545088324e-05,-0.002974876524733386,0.01889830879954642,1.599835373639032,-0.011441247814896157,0.0600704583162559,0.7999998413136753,1.2098809809679788e-05,-3.9945083586031906e-05
0.018000000000000002,pd_only,0.0010282423753909995,0.6597912990527518,0.01860236631425078,-6.00137446519217e-07,1.3883149497797397e-05,-0.00016104697035897625,-0.6998848264403382,0.01176145188315778,-0.16410585269230912,2.6213392816007425e-05,0.001609135953966223,-0.02080825692627237,-2.201002693083443,-0.058723037668452,0.6354767098987786,-5.2010401805594376e-05,-0.0029932996302530247,0.019229973224752964,1.5998122996737751,-0.011536982628457138,0.061321898098681646,0.7999998672155348,1.2950929754641862e-05,-4.522151274377641e-05
0.02,pd_only,0.0011508557457750835,0.6738454476860335,0.015450103480536605,-5.759046430629394e-07,1.211640172813882e-05,-0.00014635309724762618,-0.6998604729687035,0.012176735817399656,-0.17387421113714732,2.9441124132672496e-05,0.0016138656583325358,-0.021144568944715194,-2.201120840822848,-0.0590738697026464,0.6473919616910885,-5.802368585805751e-05,-0.0030066420262315676,0.01952010983568598,1.5997890897484228,-0.011604962676143122,0.06237742129790941,0.7999998943535044,1.356898474155181e-05,-4.9148029714546624e-05
0.022,pd_only,0.0012741383757585705,0.6861475938462803,0.013173756025715067,-5.554732533967464e-07,1.0215694833096517e-05,-0.0001235572527489083,-0.699835508382156,0.012482293273701615,-0.18163646394731467,3.26729003803601e-05,0.0016158881238438044,-0.021427266589277502,-2.2012394928592682,-0.059326018209968454,0.6579891463973454,-6.405625077181343e-05,-0.0030162824568779585,0.01978056273313113,1.599765783169247,-0.011653289587929378,0.0632975696701473,0.7999999223954644,1.4020979992436069e-05,-5.2163009052951173e-05
0.024,pd_only,0.0013979119764726512,0.6971531561813047,0.011537610391144643,-5.386561188955819e-07,8.408567250582269e-06,-9.858186739161154e-05,-0.6998100947543205,0.01270681391772524,-0.18791143525933712,3.590558721095849e-05,0.0016163434152991951,-0.02167776051275086,-2.201358505232351,-0.05950618654128595,0.6676297536557678,-7.010264432426797e-05,-0.0030231967762272723,0.020019382264422157,1.5997424081895157,-0.011687489865552295,0.06412186870847683,0.7999999510987009,1.4351618292568091e-05,-5.4531829256014195e-05
0.026000000000000002,pd_only,0.0015220438843364884,0.7071998723228012,0.01036515474275721,-5.250521434028186e-07,6.801987746381653e-06,-7.462745199650521e-05,-0.6997843515356288,0.01287160934587211,-0.19308781450250628,3.913745637888057e-05,0.0016159345839610389,-0.021909512088357435,-2.201477772608369,-0.05963368800901302,0.6765721793539083,-7.615883002539669e-05,-0.00302809285056436,0.02024225998709167,1.599718985303473,-0.011711443021343238,0.06487724458987017,0.7999999802828799,1.4592089454058815e-05,-5.642844718784912e-05
0.028,pd_only,0.001646435335624355,0.7165381155432808,0.009525825887340697,-5.141868295392909e-07,5.432656931763853e-06,-5.322365697711766e-05,-0.6997583666579974,0.012992438815711235,-0.19745440799190275,4.236762813245665e-05,0.0016150858767880374,-0.022130836954054108,-2.2015972177762015,-0.05972258391638826,0.6850032365922575,-8.22218120315475e-05,-0.003031491003075403,0.02045332200414806,1.5996955294578457,-0.011727922813663179,0.06558258251989324,0.8000000098129197,1.4765019933190107e-05,-5.797401541305922e-05
0.03,pd_only,0.0017710127729434646,0.7253532606746835,0.008924399545932256,-5.055893764770775e-07,4.2987265311067065e-06,-3.492225068155066e-05,-0.6997322048067133,0.01308092564208701,-0.2012248107801618,4.55957202852651e-05,0.001614046076404227,-0.022346764490728414,-2.201716784079805,-0.05978315180162158,0.6930589057359645,-8.828936486613737e-05,-0.003033776417294936,0.020655600379398842,1.5996720515881027,-0.011738934871483095,0.06625137762217673,0.8000000395873045,1.4887192347961435e-05,-5.925633812674117e-05
0.032,pd_only,0.001895721382278658,0.7337823625530756,0.008492350051570867,-4.988310567950006e-07,3.3791598410384647e-06,-1.973502131732769e-05,-0.6997059135469618,0.013145629875764979,-0.2045565744521525,4.882163075654528e-05,0.0016129552356400907,-0.022560253336819283,-2.2018364299213107,-0.05982292075295562,0.7008385628044972,-9.435983528581386e-05,-0.0030352352098382447,0.020851339449753738,1.5996485597096637,-0.011745939219447447,0.06689338465485116,0.8000000695296947,1.4971195093541988e-05,-6.0340515480536553e-05
0.034,pd_only,0.002020520285198804,0.7419266185278356,0.008180868071569529,-4.935408193165586e-07,2.6451187392209915e-06,-7.4017532309384566e-06,-0.6996795278466403,0.013192850160736224,-0.20756573450376484,5.204540535507478e-05,0.001611887299264748,-0.022772976980639258,-2.2019561247487394,-0.059847413714314755,0.7084150028081863,-0.00010043199567288987,-0.0030360801935380064,0.021042206317603885,1.599625059703795,-0.011750002934334498,0.06751570335564729,0.8000000995827256,1.5026515438097414e-05,-6.127537426753688e-05
